Title,Author,Language,Release_Date,Subjects,Bookshelf,file_path,label
Dubliners by James Joyce,"Joyce, James, 1882-1941",Unknown,"Sep 1, 2001","Short stories, Dublin (Ireland) -- Fiction","Bookshelves, In Banned Books from Anne Haight's list, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",Dubliners_by_James_Joyce_529.txt,human
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,"Dumas, Alexandre, 1802-1870, Maquet, Auguste, 1813-1888",Unknown,"Jan 1, 1998","Historical fiction, Revenge -- Fiction, Adventure stories, Prisoners -- Fiction, France -- History -- 19th century -- Fiction, Pirates -- Fiction, Dantès, Edmond (Fictitious character) -- Fiction","Bookshelves, In Adventure, In Movie Books, In Browsing: History - General, In Browsing: Literature, In Browsing: Fiction",The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet_519.txt,human
"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau","Thoreau, Henry David, 1817-1862",Unknown,"Jan 1, 1995","Civil disobedience, Authors, American -- 19th century -- Biography, Thoreau, Henry David, 1817-1862 -- Homes and haunts -- Massachusetts -- Walden Woods, Wilderness areas -- Massachusetts -- Walden Woods, Natural history -- Massachusetts -- Walden Woods, Solitude, Government, Resistance to, Walden Woods (Mass.) -- Social life and customs","Bookshelves, In Browsing: Biographies, In Browsing: Culture/Civilization/Society, In Browsing: Literature",Walden_and_On_The_Duty_Of_Civil_Disobedience_by_Henry_David_Thoreau_512.txt,human
"George Bernard Shaw, his life and works :  a critical biography (authorized)","Henderson, Archibald, 1877-1963",Unknown,"Oct 16, 2024","Shaw, Bernard, 1856-1950, Shaw family",Bookshelves,George_Bernard_Shaw_his_life_and_works__by_Archibald_Henderson_480.txt,human
"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley","Shelley, Mary Wollstonecraft, 1797-1851",Unknown,"Nov 23, 2012","Science fiction, Horror tales, Gothic fiction, Scientists -- Fiction, Monsters -- Fiction, Frankenstein, Victor (Fictitious character) -- Fiction, Frankenstein's monster (Fictitious character) -- Fiction","Bookshelves, In Precursors of Science Fiction, In Science Fiction by Women, In Browsing: Gender & Sexuality Studies, In Browsing: Literature, In Browsing: Science-Fiction & Fantasy, In Browsing: Fiction",Frankenstein_Or_The_Modern_Prometheus_by_Mary_Wollstonecraft_Shelley_478.txt,human
Don Quixote by Miguel de Cervantes Saavedra,"Cervantes Saavedra, Miguel de, 1547-1616, Ormsby, John, 1829-1895",Unknown,"Jul 27, 2004","Spain -- Social life and customs -- 16th century -- Fiction, Knights and knighthood -- Spain -- Fiction, Picaresque literature, Romances","Bookshelves, In Best Books Ever Listings, In Harvard Classics, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",Don_Quixote_by_Miguel_de_Cervantes_Saavedra_477.txt,human
The Tragical History of Doctor Faustus by Christopher Marlowe,"Marlowe, Christopher, 1564-1593, Dyce, Alexander, 1798-1869",Unknown,"Jan 1, 1997","Germany -- Drama, Tragedies, Faust, -approximately 1540 -- Drama, Magicians -- Drama","Bookshelves, In Harvard Classics, In Browsing: Literature, In Browsing: Fiction",The_Tragical_History_of_Doctor_Faustus_by_Christopher_Marlowe_475.txt,human
White Nights and Other Stories by Fyodor Dostoyevsky,"Dostoyevsky, Fyodor, 1821-1881, Garnett, Constance, 1861-1946",Unknown,"May 5, 2011","Russian fiction -- Translations into English, Dostoyevsky, Fyodor, 1821-1881 -- Translations into English","Bookshelves, In Browsing: Literature, In Browsing: Russian Interest, In Browsing: Fiction",White_Nights_and_Other_Stories_by_Fyodor_Dostoyevsky_467.txt,human
The Hound of the Baskervilles by Arthur Conan Doyle,"Doyle, Arthur Conan, 1859-1930",Unknown,"Oct 1, 2001","Holmes, Sherlock (Fictitious character) -- Fiction, Private investigators -- England -- Fiction, Dogs -- Fiction, Detective and mystery stories, Blessing and cursing -- Fiction, Dartmoor (England) -- Fiction","Bookshelves, In Detective Fiction, In Bestsellers, American, 1895-1923, In Browsing: Crime/Mystery, In Browsing: Literature, In Browsing: Fiction",The_Hound_of_the_Baskervilles_by_Arthur_Conan_Doyle_458.txt,human
Doctrina Christiana by Edwin Wolf,"Wolf, Edwin, 1911-1991","Spanish, Tagalog","Jun 23, 2005","Tagalog language -- Texts, Catholic Church -- Catechisms -- Tagalog, Catholic Church -- Catechisms -- Spanish, Block books -- Facsimiles","Bookshelves, In Christianity, In Browsing: History - General, In Browsing: Language & Communication, In Browsing: Religion/Spirituality/Paranormal",Doctrina_Christiana_441.txt,human
On Liberty by John Stuart Mill,"Mill, John Stuart, 1806-1873",Unknown,"Jan 10, 2011",Liberty,"Bookshelves, In Philosophy, In Browsing: Philosophy & Ethics, In Browsing: Politics",On_Liberty_by_John_Stuart_Mill_439.txt,human
A Study in Scarlet by Arthur Conan Doyle,"Doyle, Arthur Conan, 1859-1930",Unknown,"Apr 1, 1995","Holmes, Sherlock (Fictitious character) -- Fiction, Private investigators -- England -- Fiction, Detective and mystery stories, England -- Fiction","Bookshelves, In Detective Fiction, In Browsing: Crime/Mystery, In Browsing: Literature, In Browsing: Fiction",A_Study_in_Scarlet_by_Arthur_Conan_Doyle_434.txt,human
The Kama Sutra of Vatsyayana by Vatsyayana,"Vatsyayana, Bhide, Shivaram Parashuram, Burton, Richard Francis, Sir, 1821-1890, Indrajit, Bhagavanlal",Unknown,"Jan 18, 2009","Love, Sex","Bookshelves, In Sociology, In Erotic Fiction, In Banned Books from Anne Haight's list, In Browsing: Culture/Civilization/Society, In Browsing: Sexuality & Erotica, In Browsing: Sociology",The_Kama_Sutra_of_Vatsyayana_by_Vatsyayana_434.txt,human
Carmilla by Joseph Sheridan Le Fanu,"Le Fanu, Joseph Sheridan, 1814-1873",Unknown,"Nov 1, 2003","Young women -- Fiction, Vampires -- Fiction","Bookshelves, In Horror, In Gothic Fiction, In Browsing: Gender & Sexuality Studies, In Browsing: Literature, In Browsing: Fiction",Carmilla_by_Joseph_Sheridan_Le_Fanu_428.txt,human
Little Women by Louisa May Alcott,"Alcott, Louisa May, 1832-1888",Unknown,"May 1, 1996","Autobiographical fiction, Young women -- Fiction, Sisters -- Fiction, Domestic fiction, Family life -- New England -- Fiction, New England -- Fiction, Bildungsromans, Mothers and daughters -- Fiction, March family (Fictitious characters) -- Fiction","Bookshelves, In Children's Literature, In Browsing: Children & Young Adult Reading, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",Little_Women_by_Louisa_May_Alcott_427.txt,human
Anne of Green Gables by L. M. Montgomery,"Montgomery, L. M. (Lucy Maud), 1874-1942",Unknown,"Jun 27, 2008","Orphans -- Fiction, Islands -- Fiction, Friendship -- Fiction, Bildungsromans, Girls -- Fiction, Country life -- Prince Edward Island -- Fiction, Prince Edward Island -- History -- 20th century -- Fiction, Canada -- History -- 1867-1914 -- Fiction, Shirley, Anne (Fictitious character) -- Fiction","Bookshelves, In Canada, In Children's Literature, In Browsing: Children & Young Adult Reading, In Browsing: Culture/Civilization/Society, In Browsing: History - General, In Browsing: Fiction",Anne_of_Green_Gables_by_L_M__Montgomery_417.txt,human
The divine comedy by Dante Alighieri,"Dante Alighieri, 1265-1321, Doré, Gustave, 1832-1883, Cary, Henry Francis, 1772-1844",Unknown,"Sep 1, 2005","Epic poetry, Italian -- Translations into English, Italian poetry -- To 1400 -- Translations into English","Bookshelves, In Italy, In Best Books Ever Listings, In Browsing: Literature, In Browsing: Poetry",The_divine_comedy_by_Dante_Alighieri_408.txt,human
The King in Yellow by Robert W. Chambers,"Chambers, Robert W. (Robert William), 1865-1933",Unknown,"Jul 1, 2005","Short stories, American, Horror tales, American, United States -- Social life and customs -- 19th century -- Fiction","Bookshelves, In Horror, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",The_King_in_Yellow_by_Robert_W__Chambers_404.txt,human
Peter Pan by J. M. Barrie,"Barrie, J. M. (James Matthew), 1860-1937",Unknown,"Jun 25, 2008","Fantasy literature, Peter Pan (Fictitious character) -- Fiction, Never-Never Land (Imaginary place) -- Fiction, Pirates -- Fiction, Fairies -- Fiction","Bookshelves, In Children's Literature, In Movie Books, In Browsing: Children & Young Adult Reading, In Browsing: Literature, In Browsing: Science-Fiction & Fantasy, In Browsing: Fiction",Peter_Pan_by_J_M__Barrie_396.txt,human
Le Morte d'Arthur: Volume 1 by Sir Thomas Malory,"Malory, Thomas, Sir, -1471",Unknown,"Mar 1, 1998","Arthurian romances, Arthur, King -- Legends","Bookshelves, In Fantasy, In Arthurian Legends, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Science-Fiction & Fantasy, In Browsing: Fiction",Le_Morte_dArthur_Volume_1_by_Sir_Thomas_Malory_395.txt,human
Du côté de chez Swann by Marcel Proust,"Proust, Marcel, 1871-1922",French,"May 1, 2001","Autobiographical fiction, Villages -- France -- Fiction, France -- Social life and customs -- 19th century -- Fiction","Bookshelves, In FR Littérature, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",Du_côté_de_chez_Swann_by_Marcel_Proust_395.txt,human
The Romance of Lust: A classic Victorian erotic novel by Anonymous,Anonymous,Unknown,"Oct 14, 2009","Incest -- Fiction, Erotic stories, Pornography, Sexual dominance and submission -- Fiction, Corporal punishment -- Fiction, Rape -- Fiction","Bookshelves, In Browsing: Literature, In Browsing: Sexuality & Erotica, In Browsing: Fiction",The_Romance_of_Lust_A_classic_Victorian_erotic_novel_by_Anonymous_393.txt,human
The Wonderful Wizard of Oz by L. Frank Baum,"Baum, L. Frank (Lyman Frank), 1856-1919",Unknown,"Feb 1, 1993","Oz (Imaginary place) -- Juvenile fiction, Fantasy literature, Courage -- Juvenile fiction, Home -- Juvenile fiction, Good and evil -- Juvenile fiction, Dreams -- Juvenile fiction, Gale, Dorothy (Fictitious character) -- Juvenile fiction, Cowardly Lion (Fictitious character) -- Juvenile fiction, Cyclones -- Juvenile fiction, Scarecrow (Fictitious character from Baum) -- Juvenile fiction, Toto (Fictitious character) -- Juvenile fiction, Witches -- Juvenile fiction, Wizard of Oz (Fictitious character) -- Juvenile fiction, Tin Woodman (Fictitious character) -- Juvenile fiction","Bookshelves, In Children's Literature, In Fantasy, In Browsing: Children & Young Adult Reading, In Browsing: Science-Fiction & Fantasy, In Browsing: Fiction",The_Wonderful_Wizard_of_Oz_by_L_Frank__Baum_391.txt,human
Anabasis by Xenophon,"Xenophon, 432 BCE-351? BCE, Dakyns, Henry Graham, 1838-1911",Unknown,"Jan 1, 1998","Classical literature, Iran -- History -- To 640, Cyrus, the Younger, approximately 423 B.C.-401 B.C., Greece -- History -- Expedition of Cyrus, 401 B.C.","Bookshelves, In Browsing: History - European, In Browsing: History - General, In Browsing: Literature",Anabasis_by_Xenophon_379.txt,human
"Hamlet, Prince of Denmark by William Shakespeare","Shakespeare, William, 1564-1616, Kean, Charles John, 1811?-1868",Unknown,"Jan 10, 2009","Tragedies, Hamlet (Legendary character) -- Drama, Kings and rulers -- Succession -- Drama, Murder victims' families -- Drama, Fathers -- Death -- Drama, Revenge -- Drama, Princes -- Drama, Denmark -- Drama","Bookshelves, In Best Books Ever Listings, In Browsing: Literature, In Browsing: Fiction",Hamlet_Prince_of_Denmark_by_William_Shakespeare_377.txt,human
"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley","Shelley, Mary Wollstonecraft, 1797-1851",Unknown,"Mar 13, 2013","Science fiction, Horror tales, Gothic fiction, Scientists -- Fiction, Monsters -- Fiction, Frankenstein, Victor (Fictitious character) -- Fiction, Frankenstein's monster (Fictitious character) -- Fiction","Bookshelves, In Precursors of Science Fiction, In Science Fiction by Women, In Browsing: Science-Fiction & Fantasy, In Browsing: Fiction",Frankenstein_Or_The_Modern_Prometheus_by_Mary_Wollstonecraft_Shelley_376.txt,human
The Devil is an Ass by Ben Jonson,"Jonson, Ben, 1573?-1637, Cook, Albert S. (Albert Stanburrough), 1853-1927, Johnson, William Savage, 1877-1942",Unknown,"Oct 7, 2015","Comedies, English drama -- 17th century","Bookshelves, In Browsing: Literature, In Browsing: Performing Arts/Film, In Browsing: Fiction",The_Devil_is_an_Ass_by_Ben_Jonson_365.txt,human
Chambers's Twentieth Century Dictionary (part 1 of 4: A-D) by Thomas Davidson,"Davidson, Thomas, 1856-1923",Unknown,"Oct 9, 2011",English language -- Dictionaries,"Bookshelves, In Browsing: Encyclopedias/Dictionaries/Reference, In Browsing: Language & Communication, In Browsing: Literature",Chamberss_Twentieth_Century_Dictionary_part_1_of_4_A-D_363.txt,human
Plays by Susan Glaspell,"Glaspell, Susan, 1882?-1948",Unknown,"Jan 1, 2004",American drama,"Bookshelves, In One Act Plays, In Browsing: Literature, In Browsing: Performing Arts/Film, In Browsing: Fiction",Plays_by_Susan_Glaspell_361.txt,human
Winnie-the-Pooh by A. A. Milne,"Milne, A. A. (Alan Alexander), 1882-1956, Shepard, Ernest H. (Ernest Howard), 1879-1976",Unknown,"Jan 3, 2022","Animals -- Juvenile fiction, Toys -- Juvenile fiction, Teddy bears -- Juvenile fiction, Winnie-the-Pooh (Fictitious character) -- Juvenile fiction, Piglet (Fictitious character) -- Juvenile fiction, Eeyore (Fictitious character) -- Juvenile fiction, Christopher Robin (Fictitious character) -- Juvenile fiction","Bookshelves, In Browsing: Children & Young Adult Reading, In Browsing: Fiction",Winnie-the-Pooh_by_A_A__Milne_361.txt,human
Autobiography of Benjamin Franklin by Benjamin Franklin,"Franklin, Benjamin, 1706-1790, Pine, Frank Woodworth, 1869-, Smith, E. Boyd (Elmer Boyd), 1860-1943",Unknown,"Dec 28, 2006","Franklin, Benjamin, 1706-1790, Statesmen -- United States -- Biography","Bookshelves, In Harvard Classics, In Browsing: Biographies, In Browsing: History - American",Autobiography_of_Benjamin_Franklin_by_Benjamin_Franklin_359.txt,human
Josefine Mutzenbacher by Felix Salten,"Salten, Felix, 1869-1945",German,"Feb 15, 2010","Erotic stories, Austrian fiction","Bookshelves, In DE Prosa, In Browsing: Literature, In Browsing: Sexuality & Erotica, In Browsing: Fiction",Josefine_Mutzenbacher_by_Felix_Salten_355.txt,human
Les misérables Tome I: Fantine by Victor Hugo,"Hugo, Victor, 1802-1885",French,"Jan 10, 2006","Historical fiction, Orphans -- Fiction, Paris (France) -- Fiction, Epic literature, Ex-convicts -- Fiction","Bookshelves, In FR Littérature, In Browsing: Culture/Civilization/Society, In Browsing: History - European, In Browsing: Literature, In Browsing: Fiction",Les_misérables_Tome_I_Fantine_by_Victor_Hugo_354.txt,human
"An Essay Concerning Humane Understanding, Volume 1 by John Locke","Locke, John, 1632-1704",Unknown,"Jan 1, 2004","Knowledge, Theory of -- Early works to 1800","Bookshelves, In Banned Books from Anne Haight's list, In Browsing: Philosophy & Ethics, In Browsing: Psychiatry/Psychology, In Browsing: Religion/Spirituality/Paranormal",An_Essay_Concerning_Humane_Understanding_Volume_1_by_John_Locke_346.txt,human
Oedipus King of Thebes by Sophocles,"Sophocles, 496? BCE-407 BCE, Murray, Gilbert, 1866-1957",Unknown,"Dec 31, 2008","Tragedies, Oedipus (Greek mythological figure) -- Drama","Bookshelves, In Browsing: History - Ancient, In Browsing: Literature, In Browsing: Fiction",Oedipus_King_of_Thebes_by_Sophocles_338.txt,human
The Problems of Philosophy by Bertrand Russell,"Russell, Bertrand, 1872-1970",Unknown,"Jun 1, 2004","Knowledge, Theory of, Metaphysics, Philosophy -- Introductions","Bookshelves, In Philosophy, In Browsing: Philosophy & Ethics",The_Problems_of_Philosophy_by_Bertrand_Russell_338.txt,human
Les Misérables by Victor Hugo,"Hugo, Victor, 1802-1885, Hapgood, Isabel Florence, 1850-1928",Unknown,"Jun 22, 2008","Historical fiction, Orphans -- Fiction, Paris (France) -- Fiction, Epic literature, Ex-convicts -- Fiction","Bookshelves, In Historical Fiction, In Banned Books from Anne Haight's list, In Browsing: Culture/Civilization/Society, In Browsing: History - General, In Browsing: Literature, In Browsing: Fiction",Les_Misérables_by_Victor_Hugo_337.txt,human
